epoch,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
2,,844,0.03925568237900734,,,,,,,,
,1.400990099009901e-08,849,,,,,,,,,
2,,849,0.07327300310134888,,,,,,,,
,1.409240924092409e-08,854,,,,,,,,,
2,,854,0.1190216988325119,,,,,,,,
,1.4174917491749174e-08,859,,,,,,,,,
2,,859,0.0930129662156105,,,,,,,,
,1.4257425742574256e-08,864,,,,,,,,,
2,,864,0.1332385390996933,,,,,,,,
,1.4339933993399339e-08,869,,,,,,,,,
2,,869,0.058405160903930664,,,,,,,,
,1.4422442244224423e-08,874,,,,,,,,,
2,,874,0.08783094584941864,,,,,,,,
,1.4504950495049505e-08,879,,,,,,,,,
2,,879,0.04404160752892494,,,,,,,,
,1.4587458745874587e-08,884,,,,,,,,,
2,,884,0.12028521299362183,,,,,,,,
,1.466996699669967e-08,889,,,,,,,,,
2,,889,0.0747263953089714,,,,,,,,
,1.4752475247524752e-08,894,,,,,,,,,
2,,894,0.07776592671871185,,,,,,,,
,1.4834983498349834e-08,899,,,,,,,,,
2,,899,0.0513320118188858,,,,,,,,
,1.4917491749174918e-08,904,,,,,,,,,
2,,904,0.09019039571285248,,,,,,,,
2,,908,,0.4937500059604645,0.40875911712646484,0.084204763174057,0.084204763174057,-0.04726376011967659,0.5957446694374084,0.31111112236976624,-0.015463105402886868
,1.5e-08,909,,,,,,,,,
3,,909,0.06354056298732758,,,,,,,,
,1.5082508250825083e-08,914,,,,,,,,,
3,,914,0.05647943168878555,,,,,,,,
,1.5165016501650167e-08,919,,,,,,,,,
3,,919,0.09856924414634705,,,,,,,,
,1.5247524752475247e-08,924,,,,,,,,,
3,,924,0.0600631944835186,,,,,,,,
,1.533003300330033e-08,929,,,,,,,,,
3,,929,0.061860546469688416,,,,,,,,
,1.5412541254125412e-08,934,,,,,,,,,
3,,934,0.12569837272167206,,,,,,,,
,1.5495049504950496e-08,939,,,,,,,,,
3,,939,0.0878729373216629,,,,,,,,
,1.5577557755775576e-08,944,,,,,,,,,
3,,944,0.06429465860128403,,,,,,,,
,1.566006600660066e-08,949,,,,,,,,,
3,,949,0.04811396077275276,,,,,,,,
,1.574257425742574e-08,954,,,,,,,,,
3,,954,0.0807204395532608,,,,,,,,
,1.5825082508250825e-08,959,,,,,,,,,
3,,959,0.050245530903339386,,,,,,,,
,1.590759075907591e-08,964,,,,,,,,,
3,,964,0.04997445270419121,,,,,,,,
,1.599009900990099e-08,969,,,,,,,,,
3,,969,0.09104146808385849,,,,,,,,
,1.607260726072607e-08,974,,,,,,,,,
3,,974,0.07749234139919281,,,,,,,,
,1.6155115511551157e-08,979,,,,,,,,,
3,,979,0.10139346867799759,,,,,,,,
,1.6237623762376238e-08,984,,,,,,,,,
3,,984,0.05858868733048439,,,,,,,,
,1.632013201320132e-08,989,,,,,,,,,
3,,989,0.062326524406671524,,,,,,,,
,1.64026402640264e-08,994,,,,,,,,,
3,,994,0.041582074016332626,,,,,,,,
,1.6485148514851486e-08,999,,,,,,,,,
3,,999,0.09209202229976654,,,,,,,,
,1.6567656765676567e-08,1004,,,,,,,,,
3,,1004,0.04580983519554138,,,,,,,,
,1.6650165016501648e-08,1009,,,,,,,,,
3,,1009,0.10553279519081116,,,,,,,,
,1.673267326732673e-08,1014,,,,,,,,,
3,,1014,0.09227556735277176,,,,,,,,
,1.6815181518151815e-08,1019,,,,,,,,,
3,,1019,0.1086077094078064,,,,,,,,
,1.6897689768976896e-08,1024,,,,,,,,,
3,,1024,0.09270888566970825,,,,,,,,
,1.698019801980198e-08,1029,,,,,,,,,
3,,1029,0.10735950618982315,,,,,,,,
,1.706270627062706e-08,1034,,,,,,,,,
3,,1034,0.1194225549697876,,,,,,,,
,1.7145214521452145e-08,1039,,,,,,,,,
3,,1039,0.10657728463411331,,,,,,,,
,1.722772277227723e-08,1044,,,,,,,,,
